,CLIA,FACILITY_TYPE,CERTIFICATE_TYPE,LAB_NAME,STREET,CITY,STATE,ZIP,PHONE,Contact,Touch 1,Touch 2,Touch 3,Touch 4,Call Tag 1,Call Tag 2
70422,10D2157872,Physician Office,Compliance,"Dermatology Group Of Florida, Pa",1010 Kennedy Drive Suite 304,Key West,FL,33040,(305) 359-3623,nan,nan,nan,nan,nan,nan,nan
70423,10D2157887,Physician Office,Microscopy,Compassionate Kidney Care Inc,7351 Oakland Park Blvd Suite 105,Lauder Hill,FL,33319,(954) 908-5992,nan,nan,nan,nan,nan,nan,nan
70424,10D2157888,Physician Office,Accreditation,Night Lite Pediatrics Center LLC,10325 San Jose Blvd,Jacksonville,FL,32257,(407) 398-6470,nan,nan,nan,nan,nan,nan,nan
70426,10D2157947,Physician Office,Compliance,Lakeside Dermatology,400 Avenue K Se Suite #3,Winter Haven,FL,33880,(863) 293-2147,nan,nan,nan,nan,nan,nan,nan
70428,10D2157958,Hospital,Accreditation,Nch Bonita,24040 S Tamiami Trail,Bonita Springs,FL,34134,(239) 624-3525,nan,nan,nan,nan,nan,nan,nan
70429,10D2157994,Hospital,Accreditation,Baptist Hospital Of Miami Molecular Diagnostics,8900 North Kendall Drive Room 4r302,Miami,FL,33176,(786) 527-7645,nan,nan,nan,nan,nan,nan,nan
70430,10D2158100,Physician Office,Microscopy,Orlando Physicians Network Inc,16106 Marsh Road Suite 102,Winter Garden,FL,34787,(407) 635-3095,nan,nan,nan,nan,nan,nan,nan
70431,10D2158531,Physician Office,Microscopy,Comprehensive Women's Health,724 Nw 43rd St,Gainesville,FL,32607,(561) 300-2410,nan,nan,nan,nan,nan,nan,nan
70434,10D2158796,Physician Office,Microscopy,Shine Direct Primary Care,24830 Burnt Pine Dr Ste 3,Bonita Springs,FL,34134,(239) 301-9544,nan,nan,nan,nan,nan,nan,nan
70435,10D2158831,Physician Office,Microscopy,Advanced Dermatology And Cosmetic Surgery,1720 Dunlawton Ave Ste 2,Port Orange,FL,32127,(386) 322-8310,nan,nan,nan,nan,nan,nan,nan
70436,10D2158853,Physician Office,Microscopy,Kirsch Dermatology,1333 3rd Avenue South Suite 501,Naples,FL,34102,(267) 901-2873,nan,nan,nan,nan,nan,nan,nan
70437,10D2159418,Physician Office,Registration,Nchmd Inc Pulmonary,311 9th Street North,Naples,FL,34102,(239) 624-8250,nan,nan,nan,nan,nan,nan,nan
70438,10D2159518,Physician Office,Microscopy,Women's Care Florida LLC,13148 Vail Ridge Drive,Riverview,FL,33579,(813) 286-0033,nan,nan,nan,nan,nan,nan,nan
70439,10D2159554,Physician Office,Compliance,Digestive Diseases Care For All LLC,508 East Garden Street,Lakeland,FL,33805,(863) 802-1111,nan,nan,nan,nan,nan,nan,nan
70440,10D2159775,Physician Office,Microscopy,Associates In Nephrology Butcher Caanthan & Delans,9550 Bonita Beach Road Suite 108,Bonita Springs,FL,34134,(239) 939-0999,nan,nan,nan,nan,nan,nan,nan
70441,10D2159822,Physician Office,Accreditation,Florida Cancer Specialists & Research Institute,600 Zeagler Drive,Palatka,FL,32177-3811,(386) 325-8140,nan,nan,nan,nan,nan,nan,nan
70444,10D2160161,Physician Office,Microscopy,Premier Women's Care Of Southwest Florida LLC,5700 Lee Blvd,Lehigh Acres,FL,33971,(561) 300-2410,nan,nan,nan,nan,nan,nan,nan
70445,10D2160167,Physician Office,Microscopy,Premier Women's Care Of Southwest Florida LLC,9021 Park Royal Dr,Fort Myers,FL,33908,(561) 300-2410,nan,nan,nan,nan,nan,nan,nan
70446,10D2160169,Physician Office,Microscopy,Premier Women's Care Of Southwest Florida LLC,1265 Viscaya Pkwy,Cape Coral,FL,33990,(561) 300-2410,nan,nan,nan,nan,nan,nan,nan
70448,10D2160467,Physician Office,Compliance,Advanced Reproductive Specialists Of Panama City,825 Jenks Ave,Panama City,FL,32401,(850) 250-1492,nan,nan,nan,nan,nan,nan,nan
70450,10D2160674,Physician Office,Microscopy,Osceola Gynecology LLC,4555 Pleasant Hill Road,Kissimmee,FL,34759,(561) 300-2410,nan,nan,nan,nan,nan,nan,nan
70451,10D2160780,Physician Office,Microscopy,Womens Care Florida LLC,"1301 2nd Ave Sw, 6th Floor",Largo,FL,33770,(813) 286-0033,nan,nan,nan,nan,nan,nan,nan
70453,10D2161105,Physician Office,Microscopy,Miami Center Of Excellence LLC,103301 Overseas Highway,Key Largo,FL,33037,(305) 515-5425,nan,nan,nan,nan,nan,nan,nan
70455,10D2164424,Physician Office,Registration,Bernard F Germain MD Pa,15416 N Florida Ave,Tampa,FL,33613,(813) 960-2400,nan,nan,nan,nan,nan,nan,nan
70459,10D2165608,Physician Office,Registration,Premier Dermatology Partners,20937 Lyons Road,Boca Raton,FL,33428,(561) 483-5666,nan,nan,nan,nan,nan,nan,nan
70461,10D2166100,Physician Office,Microscopy,Skin And Cancer Associates Llp,12600 Sw 120th Street Suite 107,Miami,FL,33186,(305) 969-6954,nan,nan,nan,nan,nan,nan,nan
70462,10D2166900,Physician Office,Microscopy,Trogolo Obstetrics And Gynecology LLC,14540 Old St Augustine Road Suite 2391,Jacksonville,FL,32258,(904) 647-6946,nan,nan,nan,nan,nan,nan,nan
70465,10D2167623,Physician Office,Registration,Advanced Care Gastroenterology Associates LLC,15303 Amberly Drive,Tampa,FL,33647,(813) 751-9727,nan,nan,nan,nan,nan,nan,nan
70469,10D2167772,Physician Office,Microscopy,Capital Regional Women's Health,2414 E Plaza Dr,Tallahassee,FL,32308,(850) 219-2369,nan,nan,nan,nan,nan,nan,nan
70473,10D2168081,Physician Office,Microscopy,West Florida Internal Medicine LLC,321 S Fairfield Drive Room 3 Obgyn Practice,Pensacola,FL,32506,(850) 969-2038,nan,nan,nan,nan,nan,nan,nan
70475,10D2168542,Physician Office,Registration,"Integrative Foot And Ankle, LLC",5405 Okeechobee Blvd Ste 303,West Palm Beach,FL,33417,(561) 293-3439,nan,nan,nan,nan,nan,nan,nan
70479,10D2169383,Physician Office,Microscopy,Adventhealth Medical Group Ob Gyn At,250 N Alafaya Trail Suite 105,Orlando,FL,32828,(407) 303-1444,nan,nan,nan,nan,nan,nan,nan
70480,10D2169391,Physician Office,Registration,"Lakewood Asc, LLC",5571 E Sr 44 Suite 501,Wildwood,FL,34785,(352) 643-9080,nan,nan,nan,nan,nan,nan,nan
70481,10D2169665,Hospital,Registration,Ocala Health Maricamp Emergency Room,2897 Se Maricamp Rd,Ocala,FL,34471,(407) 890-2235,nan,nan,nan,nan,nan,nan,nan
70482,10D2169717,Physician Office,Registration,Oceans Dermatology LLC,10151 Enterprise Center Blvd Suite 204,Boynton Beach,FL,33437,(561) 405-3000,nan,nan,nan,nan,nan,nan,nan
70484,10D2170220,Physician Office,Microscopy,Riverchase Dermatology,7331 Gladiolus Drive,Fort Myers,FL,33908,(239) 313-2520,nan,nan,nan,nan,nan,nan,nan
70487,10D2170434,Hospital,Registration,Adventhealth Lab,8100 Red Bug Lake Road,Oviedo,FL,32765,(407) 303-2200,nan,nan,nan,nan,nan,nan,nan
70488,10D2170439,Hospital,Registration,Adventhealth Lab,13691 E Colonial Drive,Orlando,FL,32826,(321) 363-0412,nan,nan,nan,nan,nan,nan,nan
70491,10D2170738,Physician Office,Registration,Academic Alliance In Dermatology Inc,1503 West Reynolds St,Plant City,FL,33563,(813) 882-9849,nan,nan,nan,nan,nan,nan,nan
70492,10D2170964,Physician Office,Registration,Btt Heat Shock Technologies LLC,17501 Biscayne Blvd Ste 470,Aventura,FL,33160,(786) 440-5136,nan,nan,nan,nan,nan,nan,nan
70493,10D2171235,Physician Office,Registration,"Florida Cancer Specialists & Research Institute,",26823 Tanic Drive,Wesley Chapel,FL,33544-4605,(813) 279-7107,nan,nan,nan,nan,nan,nan,nan
70496,10D2172540,Physician Office,Registration,D Pediatrics LLC,9055 Sw 72nd Place,Miami,FL,33156,(305) 282-3386,nan,nan,nan,nan,nan,nan,nan
70497,10D2172992,Physician Office,Registration,Pulmonary Disease Specialists Pa,110 Park Place Blvd,Davenport,FL,33837,(863) 419-0104,nan,nan,nan,nan,nan,nan,nan
70498,10D2173124,Physician Office,Registration,"Florida Cancer Specialists & Research Institute,",795 Sw State Road 47,Lake City,FL,32025,(386) 401-7066,nan,nan,nan,nan,nan,nan,nan
70499,10D2173250,Physician Office,Microscopy,Bower Lyman Center For Medically Complex Children,841 Prudential Drive Suite 900,Jacksonville,FL,32207,(904) 244-9233,nan,nan,nan,nan,nan,nan,nan
70500,10D2173296,Physician Office,Microscopy,Zampogna Healthcare LLC,1350 Tamiami Trl N Ste 205,Naples,FL,34102,(239) 263-1910,nan,nan,nan,nan,nan,nan,nan
70501,10D2173386,Physician Office,Registration,Urology Specialist Group LLC,2140 W 68th St Suite 302,Hialeah,FL,33016,(305) 822-7227,nan,nan,nan,nan,nan,nan,nan
70502,10D2173492,Physician Office,Registration,Neuspine Institute,2700 Healing Way Suite 300,Wesley Chapel,FL,33543,(813) 333-1186,nan,nan,nan,nan,nan,nan,nan
70504,10D2173614,Physician Office,Registration,Lpg Urology - Lehigh Acres,3227 Lehigh Blvd Suite F,Lehigh Acres,FL,33971,(239) 424-2030,nan,nan,nan,nan,nan,nan,nan
70505,10D2173624,Physician Office,Registration,Lpg Urology - Fort Myers,12651 Whitehall Drive,Fort Myers,FL,33907,(239) 424-2030,nan,nan,nan,nan,nan,nan,nan
70506,10D2173633,Physician Office,Registration,Lpg Urology - Cape Coral,507 Del Prado Blvd,Cape Coral,FL,33990,(239) 424-2030,nan,nan,nan,nan,nan,nan,nan
70508,10D2173974,Hospital,Registration,Capital Regional Medical Center Emergency Room At,2674 Capital Circle Se,Tallahassee,FL,32311,(850) 325-5077,nan,nan,nan,nan,nan,nan,nan
70510,10D2174100,Physician Office,Registration,Matthew Taub MD Pa,4700 Sheridan Street Suite M,Hollywood,FL,33021,(954) 290-1734,nan,nan,nan,nan,nan,nan,nan
70511,10D2174102,Physician Office,Registration,Pain Relief Centers,3450 E Fletcher Ave Ste 210a,Tampa,FL,33613,(813) 426-8237,nan,nan,nan,nan,nan,nan,nan
70512,10D2174136,Physician Office,Registration,"Luminary Dermatology, Pa",2350 Scenic Drive,Venice,FL,34293,(941) 926-6553,nan,nan,nan,nan,nan,nan,nan
70513,10D2174138,Physician Office,Registration,Luminary Dermatology P.A.,1900 Brother Geenen,Sarasota,FL,34236,(941) 926-6553,nan,nan,nan,nan,nan,nan,nan
70514,10D2174398,Physician Office,Microscopy,Orlando Health Physician Associates,2565 Enterprise Road Suite 300 & 400,Orange City,FL,32763,(386) 201-9105,nan,nan,nan,nan,nan,nan,nan
70517,11D0694939,Physician Office,Registration,"Central Georgia Infectious Diseases, LLC","458 Hemlock Street, Suite 200",Macon,GA,31201,(912) 741-5945,nan,nan,nan,nan,nan,nan,nan
70519,11D0895988,Physician Office,Registration,Lawrenceville Family Practice Pc,"1730 Lawrenceville Suwanee Road, Ste 1",Lawrenceville,GA,30043,(770) 338-0089,nan,nan,nan,nan,nan,nan,nan
70520,11D0899212,Physician Office,Microscopy,Premieer Care For Women / Northside Hospital,"960 Johnson Ferry Rd, Suite 400",Atlanta,GA,30342,(404) 257-0170,nan,nan,nan,nan,nan,nan,nan
70521,11D0919722,Physician Office,Microscopy,Obgyn Of Atlanta,3890 Johns Creek Pkwy Ste 300,Suwanee,GA,30024,(404) 252-1137,nan,nan,nan,nan,nan,nan,nan
70522,11D0928734,Physician Office,Microscopy,"Georgia Dermatology & Skin Cancer Center, LLC",101 Martin Luther King Jr Drive,Forsyth,GA,31029,(229) 276-1122,nan,nan,nan,nan,nan,nan,nan
70523,11D0933683,Physician Office,Compliance,Kaiser Permanente - Gwinnett Medical Office,3650 Steve Reynolds Boulevard,Duluth,GA,30096,(770) 931-6114,nan,nan,nan,nan,nan,nan,nan
70524,11D0938983,Physician Office,Microscopy,Floyd Primary/Urgent Care Armuchee,4159 Martha Berry Hwy Nw,Rome,GA,30165,(706) 232-8477,nan,nan,nan,nan,nan,nan,nan
70525,11D0940479,Physician Office,Microscopy,Progressive Women's Healthcare,10 Park Place Ne Suite Llc,Atlanta,GA,30303,(404) 699-7096,nan,nan,nan,nan,nan,nan,nan
70526,11D0948330,Physician Office,Microscopy,"Comprehensive Women's O/Gyn Associates, LLC",2029 Pernoshal Court,Dunwoody,GA,30338,(770) 730-0451,nan,nan,nan,nan,nan,nan,nan
70527,11D0949921,Physician Office,Microscopy,Spilker Family Medicine,"1690 Stone Village Lane, Nw, Suite 921",Kennesaw,GA,30152-7714,(770) 590-1440,nan,nan,nan,nan,nan,nan,nan
70528,11D0959316,Physician Office,Microscopy,Atlanta Pulmonary And Sleep Solutions,"245 Village Center Pkwy, Suite 100",Stockbridge,GA,30281,(770) 506-7171,nan,nan,nan,nan,nan,nan,nan
70529,11D1041689,Physician Office,Registration,Douglas Medical Specialists,"200 Doctors Drive, Suite N",Douglas,GA,31533,(912) 384-3338,nan,nan,nan,nan,nan,nan,nan
70532,11D1083183,Physician Office,Microscopy,Wellstar Urology Hiram,"144 Bill Carruth Parkway, Suite 2300",Hiram,GA,30141,(470) 956-3631,nan,nan,nan,nan,nan,nan,nan
70533,11D2002822,Physician Office,Registration,Grady Health System - Choa Hughes Spalding,"35 Jesse Hill Jr Drive, S E",Atlanta,GA,30303,(404) 616-4800,nan,nan,nan,nan,nan,nan,nan
70534,11D2006605,Physician Office,Microscopy,"Tspmg, Inc - Holly Springs","684 Sixes Road, Suite 275",Holly Springs,GA,30115,(404) 295-6381,nan,nan,nan,nan,nan,nan,nan
70535,11D2012244,Physician Office,Microscopy,"Tspmg, Inc - Douglasville",6875 A Douglas Blvd,Douglasville,GA,30135,(678) 838-2254,nan,nan,nan,nan,nan,nan,nan
70537,11D2057742,Physician Office,Microscopy,Piedmont Physicians Midwifery Clinic,"1199 Prince Avenue, Med Services Bldg, 1st Floor",Athens,GA,30606-2797,(706) 475-5700,nan,nan,nan,nan,nan,nan,nan
70538,11D2074641,Physician Office,Microscopy,"Agile Clinical Research Trials, LLC",750 Hammond Drive,Atlanta,GA,30328,(404) 400-2255,nan,nan,nan,nan,nan,nan,nan
70540,11D2101174,Physician Office,Compliance,"Ccrm Atlanta, LLC","711 Canton Road, Ne, Suite 410",Marietta,GA,30060,(678) 841-1080,nan,nan,nan,nan,nan,nan,nan
70541,11D2110138,Physician Office,Microscopy,Wellstar Medical Group Family Medicine,560-D Amsterdam Avenue,Atlanta,GA,30306,(404) 479-8708,nan,nan,nan,nan,nan,nan,nan
70542,11D2125911,Physician Office,Registration,Comprehensive Spine & Pain,"403 Permian Way, Suite D",Villa Rica,GA,30180,(770) 627-7246,nan,nan,nan,nan,nan,nan,nan
70545,11D2153785,Physician Office,Registration,"Concierge Medicine Of Columbus, Inc","850 Brookstone Centre Parkway, Suite 200",Columbus,GA,31904,(706) 507-5320,nan,nan,nan,nan,nan,nan,nan
70546,11D2155758,Physician Office,Accreditation,Coastal Fertility Specialists - Savannah,"9100 White Bluff Road, Suite 201",Savannah,GA,31406,(843) 883-5800,nan,nan,nan,nan,nan,nan,nan
70547,11D2156268,Physician Office,Microscopy,St Francis Urology,2300 Manchester Expressway A-002,Columbus,GA,31904,(706) 320-3203,nan,nan,nan,nan,nan,nan,nan
70548,11D2156304,Physician Office,Microscopy,Wellstar Medical Group Ob/Gyn North Fulton,"2500 Hospital Blvd, Suite 340",Roswell,GA,30076,(470) 956-4590,nan,nan,nan,nan,nan,nan,nan
70549,11D2156306,Physician Office,Microscopy,"Modern Dermatology Atlanta, LLC","120 Stonebridge Parkway, Suite 440",Woodstock,GA,30189,(770) 250-7199,nan,nan,nan,nan,nan,nan,nan
70550,11D2156373,Physician Office,Compliance,Skin Cancer & Cosmetic Dermatology Center,"101 Riverstone Vista, Suite 215",Blue Ridge,GA,30513,(706) 229-6751,nan,nan,nan,nan,nan,nan,nan
70551,11D2156446,Physician Office,Microscopy,"Sterling Internal Medicine, LLC",2509 South Main Street,Moultrie,GA,31768,(229) 890-1442,nan,nan,nan,nan,nan,nan,nan
70552,11D2157902,Physician Office,Microscopy,Memorial Hlth Univ Phys Womens Care-Richmond Hill,3780 Us Highway 17,Richmond Hill,GA,31324,(912) 350-5937,nan,nan,nan,nan,nan,nan,nan
70553,11D2157969,Physician Office,Compliance,"Preventclinic, Inc,","6000 Lake Forrest Drive, Nw, Suite 540",Sandy Springs,GA,30328,(470) 735-5045,nan,nan,nan,nan,nan,nan,nan
70554,11D2158558,Physician Office,Microscopy,Emory Clinic Ob/Gyn Department,"2000 Findley Road, Suite 400",Johns Creek,GA,30097,(404) 251-2512,nan,nan,nan,nan,nan,nan,nan
70555,11D2159237,Physician Office,Microscopy,Georgia Nephrology,"6000 Hillandale Drive, Suite 135",Lithonia,GA,30058,(404) 645-7150,nan,nan,nan,nan,nan,nan,nan
70558,11D2159943,Physician Office,Registration,Braselton Urgent Care,"2620 Old Winder Highway, Suite 300",Braselton,GA,30517,(678) 821-2401,nan,nan,nan,nan,nan,nan,nan
70561,11D2160998,Physician Office,Microscopy,"Skin Cancer Specialists, Pc & Aesthetic Center",1150 Brookstone Centre Parkway,Columbus,GA,31904,(770) 422-5557,nan,nan,nan,nan,nan,nan,nan
70562,11D2161000,Physician Office,Microscopy,Midtown Ob Gyn North,"3081 Williams Road, Unit A",Columbus,GA,31909,(706) 320-2547,nan,nan,nan,nan,nan,nan,nan
70563,11D2161206,Physician Office,Microscopy,Northside - Primary Care Of Brookhaven,"4062 Peachtree Road, Suite C",Brookhaven,GA,30319,(404) 365-6500,nan,nan,nan,nan,nan,nan,nan
70564,11D2161221,Physician Office,Microscopy,"Compass Primary Care, LLC","1720 Phoenix Boulevard, Suite 700",College Park,GA,30349,(470) 369-7800,nan,nan,nan,nan,nan,nan,nan
70565,11D2161222,Physician Office,Microscopy,Peachtree Women's Clinic,"1110 W Peachtree Street, Suite 810",Atlanta,GA,30309,(404) 303-1224,nan,nan,nan,nan,nan,nan,nan
70566,11D2161225,Physician Office,Microscopy,Womens Health Care,130 Byrd Way,Warner Robins,GA,31088,(478) 922-9136,nan,nan,nan,nan,nan,nan,nan
70568,11D2165497,Physician Office,Registration,"Advanced Urology Institute Of Georgia, Pc","11660 Alpharetta Highway, Suite 775",Roswell,GA,30076,(678) 344-8900,nan,nan,nan,nan,nan,nan,nan
70570,11D2165937,Physician Office,Microscopy,Georgia Dermatology Partners,"2 3925 Peachtree Road, Suite 200",Atlanta,GA,30319,(770) 972-4845,nan,nan,nan,nan,nan,nan,nan
70571,11D2166150,Physician Office,Microscopy,"Alpha Omega Obgyn, LLC","3400 Old Town Parkway, Bldg C, Suite 475",Alpharetta,GA,30022,(404) 303-1224,nan,nan,nan,nan,nan,nan,nan
70572,11D2166152,Physician Office,Microscopy,"Ob/Gyn Of North Atlanta, LLC","5445 Meridian Mark Road, Suite 120",Atlanta,GA,30342,(404) 303-1224,nan,nan,nan,nan,nan,nan,nan
70574,11D2166267,Physician Office,Microscopy,Georgia Dermatology Partners,"3925 Peachtree Road, Suite 200",Atlanta,GA,30319,(770) 972-4845,nan,nan,nan,nan,nan,nan,nan
70576,11D2167804,Physician Office,Registration,"Advanced Gynecology, Pc","11660 Alpharetta Highway, Suite 790",Roswell,GA,30076,(678) 344-8900,nan,nan,nan,nan,nan,nan,nan
70578,11D2168695,Physician Office,Microscopy,"Liliumcare, LLC","3108 Piedmont Road, Suite 120",Atlanta,GA,30305,(470) 737-3681,nan,nan,nan,nan,nan,nan,nan
70579,11D2169008,Physician Office,Microscopy,Harbin Clinic 200 Gentilly Blvd,200 Gentilly Blvd,Cartersville,GA,30120,(762) 235-1760,nan,nan,nan,nan,nan,nan,nan
70583,11D2170922,Physician Office,Microscopy,South Georgia Physicians Group,"3345 Us Highway 84, Suite 100",Blackshear,GA,31516,(912) 807-6600,nan,nan,nan,nan,nan,nan,nan
70584,11D2171532,Physician Office,Registration,Primary Pediatrics After Hours,4600 Billy Gardner Parkway,Locust Grove,GA,30248,(478) 741-3007,nan,nan,nan,nan,nan,nan,nan
70585,11D2171533,Physician Office,Registration,Primary Pediatrics After Hours,1867 Forsyth Street,Macon,GA,31201,(478) 741-3007,nan,nan,nan,nan,nan,nan,nan
70586,11D2171536,Physician Office,Microscopy,"Griffin Ob-Gyn Clinic, Pa",403 W Main Street,Thomaston,GA,30286,(706) 646-2888,nan,nan,nan,nan,nan,nan,nan
70587,11D2171538,Physician Office,Microscopy,Renew Gynecology & Wellness Center,653 S 8th Street,Griffin,GA,30224,(678) 972-1800,nan,nan,nan,nan,nan,nan,nan
70588,11D2172424,Physician Office,Registration,"University Cancer & Blood Center, LLC - Bldg 300","3320 Old Jefferson Road, Bldg 300",Athens,GA,30607,(706) 353-2990,nan,nan,nan,nan,nan,nan,nan
70589,11D2172618,Physician Office,Microscopy,Clinical Research Atlanta,747 South Hill Street,Griffin,GA,30224,(770) 507-6867,nan,nan,nan,nan,nan,nan,nan
70590,11D2172729,Physician Office,Microscopy,North Georgia Ob/Gyn Specialists - Canton,"470 Northside Cherokee Blvd, Suite 290",Canton,GA,30115,(770) 721-9420,nan,nan,nan,nan,nan,nan,nan
70591,11D2172931,Physician Office,Microscopy,Gwinnett Obgyn Associates,"1132 Athens Highway, Suite 207",Grayson,GA,30017,(770) 972-0330,nan,nan,nan,nan,nan,nan,nan
70592,11D2173834,Physician Office,Microscopy,Piedmont Physicians Group Obgyn Npc2 - Lagrange,"1075 Lafayette Parkway, Suite 210",Lagrange,GA,30241,(770) 400-7810,nan,nan,nan,nan,nan,nan,nan
70593,11D2174014,Physician Office,Microscopy,Memorial Health Provident Women's Specialists,"4750 Waters Avenue, Suite 311",Savannah,GA,31404,(912) 350-7754,nan,nan,nan,nan,nan,nan,nan
70594,12D2169853,Physician Office,Registration,Ronald Moy MD,77-6447 Kuakini Highway #c2-84,Kailua Kona,HI,96740,(808) 854-4039,nan,nan,nan,nan,nan,nan,nan
70595,12D2169927,Physician Office,Microscopy,Kurt D Yoshino MD,"1329 Lusitana Street, Suite B2",Honolulu,HI,96813,(808) 599-4200,nan,nan,nan,nan,nan,nan,nan
70596,12D2169928,Physician Office,Microscopy,Kurt D Yoshino MD,"99-128 Aiea Heights Dr, Suite 502",Aiea,HI,96701,(808) 487-7591,nan,nan,nan,nan,nan,nan,nan
70597,12D2169929,Physician Office,Microscopy,Kurt D Yoshino MD,"91-2139 Ft Weaver Rd, Suite 201",Ewa Beach,HI,96706,(808) 678-0878,nan,nan,nan,nan,nan,nan,nan
70598,12D2173089,Physician Office,Microscopy,Oahu Kidney Care LLC,1380 Lusitana St Ste 907,Honolulu,HI,96813,(808) 638-2642,nan,nan,nan,nan,nan,nan,nan
70599,13D1044083,Physician Office,Microscopy,St Luke's Physician Center-Buhl,980 Burley Ave,Buhl,ID,83316,(208) 543-9163,nan,nan,nan,nan,nan,nan,nan
70600,13D2106073,Physician Office,Microscopy,Idaho Sports Medicine Institute,1188 W University Dr,Boise,ID,83706,(208) 336-8250,nan,nan,nan,nan,nan,nan,nan
70601,13D2120896,Physician Office,Microscopy,East Falls Specialty Clinic,3200 Channing Way Ste 205,Idaho Falls,ID,83404,(208) 535-4515,nan,nan,nan,nan,nan,nan,nan
70602,13D2138619,Physician Office,Microscopy,St Luke's Children's Pediatrics And Family Practic,4949 S Hillsdale,Meridian,ID,83642,(208) 706-6400,nan,nan,nan,nan,nan,nan,nan
70604,13D2155360,Physician Office,Microscopy,Mountain Pine Dermatology,1202 E Locust St,Emmett,ID,83617,(208) 878-7467,nan,nan,nan,nan,nan,nan,nan
70605,13D2155363,Physician Office,Microscopy,Mountain Pine Dermatology,110 Rattlesnake St Ste B,Mountain Home,ID,83647,(208) 898-7467,nan,nan,nan,nan,nan,nan,nan
70606,13D2156808,Physician Office,Registration,Cardiac Cath Lab Of Idaho Falls LLC,3302 Valencia Dr Ste 101b,Idaho Falls,ID,83404,(713) 822-0223,nan,nan,nan,nan,nan,nan,nan
70607,13D2156813,Physician Office,Accreditation,Idaho Falls Asc LLC,3302 Valencia Dr Ste 101a,Idaho Falls,ID,83404,(713) 822-0223,nan,nan,nan,nan,nan,nan,nan
70609,13D2159368,Physician Office,Microscopy,St Luke's Clinic-Urology Magic Valley,775 Pole Line Rd W Ste 301,Twin Falls,ID,83301,(208) 814-8700,nan,nan,nan,nan,nan,nan,nan
70610,13D2159390,Physician Office,Microscopy,Treasure Valley Urology Pllc,3085 E Magic View Dr Ste 140,Meridian,ID,83642,(208) 409-2106,nan,nan,nan,nan,nan,nan,nan
70611,13D2160094,Physician Office,Microscopy,U Of U Nephrology-Idaho Falls Nephrology,2225 Teton Plaza Suite C,Idaho Falls,ID,83404,(208) 523-6200,nan,nan,nan,nan,nan,nan,nan
70612,13D2166310,Physician Office,Microscopy,East Falls Urology,393 East 2nd North,Rexburg,ID,83440,(208) 535-4515,nan,nan,nan,nan,nan,nan,nan
70613,13D2166598,Physician Office,Microscopy,Functional Medicine Of Idaho Pc,745 S Progress Ave Ste 130,Meridian,ID,83642,(208) 385-7711,nan,nan,nan,nan,nan,nan,nan
70615,13D2170865,Physician Office,Microscopy,Idaho Skin Institute Of Burley,1344 Hiland Ave Ste D,Burley,ID,83318,(208) 572-6005,nan,nan,nan,nan,nan,nan,nan
70616,13D2171439,Physician Office,Registration,Ada West Dermatology,4574 N Ten Mile Rd Ste 120,Meridian,ID,83646,(208) 884-3376,nan,nan,nan,nan,nan,nan,nan
70617,13D2171440,Physician Office,Microscopy,Frontier Pediatric Partners Pllc,1502 Locust St N #700,Twin Falls,ID,83301,(208) 595-5095,nan,nan,nan,nan,nan,nan,nan
70618,13D2172039,Physician Office,Microscopy,St Luke's Clinic-Jerome Family Medicine,132 5th Ave West,Jerome,ID,83338,(208) 814-9800,nan,nan,nan,nan,nan,nan,nan
70619,13D2173071,Hospital,Registration,Idaho Falls Community Hosptial,2327 Coronado St,Idaho Falls,ID,83404,(208) 557-2758,nan,nan,nan,nan,nan,nan,nan
70620,14D0412467,Physician Office,Microscopy,Advocate Medical Group Compass Ped,"2551 Compass Dr, Ste 100",Glenview,IL,60026,(773) 295-3101,nan,nan,nan,nan,nan,nan,nan
70621,14D0415391,Physician Office,Microscopy,Moshe Zamir M D S C,"12525 Regency Parkway, Suite F",Huntley,IL,60142,(847) 659-8283,nan,nan,nan,nan,nan,nan,nan
70622,14D0415413,Physician Office,Compliance,Specialists In Gastroenterology,1710 N Randall Rd Ste 280,Elgin,IL,60123,(847) 931-7550,nan,nan,nan,nan,nan,nan,nan
70623,14D0421781,Physician Office,Microscopy,Edward Medical Group,10 W Martin Ave,Naperville,IL,60540,(630) 369-7700,nan,nan,nan,nan,nan,nan,nan
70624,14D0424095,Physician Office,Microscopy,Zavala Internists S C,1725 W Harrison - Ste 318,Chicago,IL,60612,(312) 942-3747,nan,nan,nan,nan,nan,nan,nan
70625,14D0434733,Physician Office,Registration,"Quincy Physician & Surgeons Clinic, S C",320 N Madison,Pittsfield,IL,62363,(217) 285-9601,nan,nan,nan,nan,nan,nan,nan
70626,14D0982003,Physician Office,Microscopy,Amita Health Medical Group - Bartlett,1041 W Stearns Rd,Bartlett,IL,60103,(630) 716-7500,nan,nan,nan,nan,nan,nan,nan
70627,14D0994714,Physician Office,Microscopy,Nmff-Lake Forest Internal Medicine,800 N Westmoreland Rd Ste 201,Lake Forest,IL,60045,(847) 535-7157,nan,nan,nan,nan,nan,nan,nan
70629,14D2010528,Physician Office,Microscopy,Family Medicine Of Western Springs,"5201 Willow Springs Rd, Ste 160",La Grange,IL,60525,(708) 354-0920,nan,nan,nan,nan,nan,nan,nan
